COD. INTERNO;COD. EAN;DESC;SEÇÃO;VENDAS;LOJA;CURVA
16657;None;PRES SADIA PERU EMB KG;EMBUTIDOS-DEFUMADOS;1468.0;10;A
259;7896013100461;AGUA SANITARIA OLIMPO 1L;ALVEJANTE - AGUA SANITAR;1432.0;10;A
16716;None;PIMENTA DE CHEIRO KG;FRUTAS-VERDURAS;1419.0;10;A
60643;None;MORTAD SEARA GOURMET DEFUM EMB KG;EMBUTIDOS-DEFUMADOS;1417.0;10;A
122694;7898230897667;MAC BONSABOR SPAG 400G;MASSAS;1402.0;10;A
16861;None;TANGERINA MURCOT KG;FRUTAS-VERDURAS;1386.0;10;A
5203;7891107101621;OLEO DE SOJA SOYA PET 900ML;OLEOS;1355.0;10;A
16866;None;MELAO JAPONES KG;FRUTAS-VERDURAS;1334.0;10;A
2492;7896220900359;ARROZ ALTEZA BCO TP1 1KG;CEREAIS-FARINHAS;1323.0;10;A
15454;7891515503659;FILEZ PEITO FGO PERDIGAO SAS PC 1KG;CONGELADOS;1283.0;10;A
3216;7896051115014;LEITE COND ITAMBE TP 395G;MATINAIS;1269.0;10;A
117767;7896003738629;BISC MARILAN CR CRACKER 350G ESPECIAL;BISCOITO-BOLINHOS;1261.0;10;A
123250;7891152801781;BISC AMORI RECH 125G CHOC;BISCOITO-BOLINHOS;1250.0;10;A
16876;None;MELANCIA KG;FRUTAS-VERDURAS;1249.0;10;A
93313;1234178083476;PAO PANSC HAMBURGUER 400G;PANIFICADORA OUTROS;1212.0;10;A
17346;None;PAO SOVADO KG;PANIFICADORA BALCAO;1171.0;10;A
2729;7898366930023;FLOCAO DE MILHO VITAMILHO 500G;DERIVADOS DE MILHO;1144.0;10;A
120071;7891152801323;BISC AMORI WAFER 80G CHOC;BISCOITO-BOLINHOS;1124.0;10;A
131686;7898902428410;ARROZ BOM NO PRATO BCO T1 1KG;CEREAIS-FARINHAS;1118.0;10;A
16703;None;BATATA DOCE KG;FRUTAS-VERDURAS;1116.0;10;A
132175;7896306619465;CHOC TRENTO MASSIMO 30G BCO/COOKIES;BOMBONIERE;1082.0;10;A
16840;None;COCO VERDE UND;FRUTAS-VERDURAS;1071.0;10;A
15693;7893000394209;MARGARINA QUALY C/SAL 500G;LATICINIOS;1064.0;10;A
16872;None;MAMAO HAWAI KG;FRUTAS-VERDURAS;1060.0;10;A
106788;7896024760289;BISC PIRAQUE LEITE MALT COB 80G CHOC;BISCOITO-BOLINHOS;1047.0;10;A
16823;None;BETERRABA KG;FRUTAS-VERDURAS;1041.0;10;A
70701;None;BANANA PRATA LUZ DO SOL ORIGINAL KG;FRUTAS-VERDURAS;1037.0;10;A
2716;7896490288775;FLOCAO DE MILHO DONA CLARA 500G;DERIVADOS DE MILHO;1035.0;10;A
119943;7898994969556;OVOS EMAPE FILM BCO JUMBO C/20;OVOS;1032.0;10;A
11047;7896006413851;PAPEL TOALHA SCALA C/2UN TRAD;PAP HIG GUARD;1023.0;10;A
11047;7896006413851;PAPEL TOALHA SCALA C/2UN TRAD;UTILIDADES DOMESTICAS;1023.0;10;A
97783;7891962051345;PAO FORMA VISCONTI INT 400G;PANIFICADORA OUTROS;1002.0;10;A
6440;7894900010046;REFRIG COCA COLA LT 350ML;BEBIDAS NAO ALCOOLICAS;983.0;10;A
122312;7891152801446;BISC FORTALEZA CR CRACKER LEG 350G;BISCOITO-BOLINHOS;979.0;10;A
132176;7896306618437;CHOC TRENTO MASSIMO 30G CHOCOLATE;BOMBONIERE;970.0;10;A
2576;7897261800011;ACUCAR CAETE CRISTAL 1KG;CEREAIS-FARINHAS;970.0;10;A
60650;None;PRES SEARA PERU EMB KG;EMBUTIDOS-DEFUMADOS;960.0;10;A
15863;7896280600428;PAO PANE VITA HAMBURGUER 400G;PANIFICADORA OUTROS;954.0;10;A
15863;7896280600428;PAO PANE VITA HAMBURGUER 400G;PANIFICADORA BALCAO;954.0;10;A
17043;None;PATINHO BOV FRIBAL KG;CARNES BOVINAS;941.0;10;A
6460;7894900011609;REFRIG COCA COLA 600ML;BEBIDAS NAO ALCOOLICAS;940.0;10;A
75411;7891000248768;CHOC KITKAT 4 FINGERS 41,5G LEITE;BOMBONIERE;936.0;10;A
6497;7894900701517;REFRIG COCA COLA ZERO 2L;BEBIDAS NAO ALCOOLICAS;935.0;10;A
11032;7896006400011;GUARDANAPO SCALA 22X20 C/50;ARTIGOS PARA FESTA;928.0;10;A
11032;7896006400011;GUARDANAPO SCALA 22X20 C/50;PAP HIG GUARD;928.0;10;A
91887;7898938310031;UVA LESSA THOMPSON 500G;FRUTAS-VERDURAS;927.0;10;A
16903;None;MARACUJA KG;FRUTAS-VERDURAS;921.0;10;A
69177;None;PAMONHA FORTE DO MILHO UND;GOMA FRESCA - PAMONHA;903.0;10;A
69177;None;PAMONHA FORTE DO MILHO UND;COMIDAS PRONTAS;903.0;10;A
16955;None;LIMAO GALEGO KG;FRUTAS-VERDURAS;898.0;10;A
1796;7896005213018;MAC BRANDINI ESPAG 500G;MASSAS;896.0;10;A
16846;None;MELANCIA BABY KG;FRUTAS-VERDURAS;891.0;10;A
19650;7898994472445;GOMA FRESCA PINHEIRO 1K;GOMA FRESCA - PAMONHA;884.0;10;A
3612;7896051111016;LEITE UHT ITAMBE INT 1L;LEITES;880.0;10;A
16795;None;CHUCHU KG;FRUTAS-VERDURAS;850.0;10;A
122960;7898247780297;OLEO DE SOJA VITALIV PET 900ML;OLEOS;842.0;10;A
2862;7896051130055;LEITE PO ITAMBE INT SH 200G;LEITES;830.0;10;A
97782;7891962051338;PAO FORMA VISCONTI TRAD 400G;PANIFICADORA OUTROS;827.0;10;A
16606;None;PRES PERDIGAO PERU EMB KG;EMBUTIDOS-DEFUMADOS;819.0;10;A
90657;7898597592458;SALG FOLHADO UND MISTO;PANIFICADORA BALCAO;819.0;10;A
16662;None;ABACAXI PEROLA UND;FRUTAS-VERDURAS;813.0;10;A
16774;None;ABOBORA LEITE KG;FRUTAS-VERDURAS;809.0;10;A
3176;7898403781298;LEITE COND BETANIA TP 395G;MATINAIS;809.0;10;A
59258;7896051130086;LEITE PO ITAMBE INT SH 800G;LEITES;808.0;10;A
17353;None;REFRIG COCA COLA KS 290ML;PANIFICADORA BALCAO;804.0;10;A
123407;None;MINI CROISSANT TO GO KG;PANIFICADORA BALCAO;794.0;10;A
16801;7898218050091;ALFACE HIDROPONICA VERDES NATURAIS;FRUTAS-VERDURAS;784.0;10;A
101255;7891164015459;FILEZ PEITO FGO AURORA SAS PC 1KG;CONGELADOS;780.0;10;A
15246;7896510100018;LEITE MARANGUAPE TIPO C 1L;LATICINIOS;774.0;10;A
16909;None;PEPINO KG;FRUTAS-VERDURAS;765.0;10;A
6930;7897240900107;REFRIG SAO GERALDO CAJU 2L;BEBIDAS NAO ALCOOLICAS;764.0;10;A
119938;7898994969532;OVOS EMAPE FILM BCO GDE C/20;OVOS;756.0;10;A
6385;7894900027006;REFRIG COCA COLA ORIG 1,5L;BEBIDAS NAO ALCOOLICAS;753.0;10;A
75207;78909045;REFRIG COCA COLA ZERO PET 250ML;BEBIDAS NAO ALCOOLICAS;753.0;10;A
59773;78912939;REFRIG COCA COLA PET 250ML;BEBIDAS NAO ALCOOLICAS;746.0;10;A
123117;7897352007282;PAO ROMANA FORMA INT C/C 450G;PANIFICADORA OUTROS;723.0;10;A
15861;7896280600183;PAO PANE VITA FORMA INT 500G;PANIFICADORA OUTROS;723.0;10;A
15861;7896280600183;PAO PANE VITA FORMA INT 500G;PANIFICADORA BALCAO;723.0;10;A
101552;None;MUSCULO FRIBAL MOIDO KG;CARNES BOVINAS;720.0;10;A
2225;7891079000229;MAC LAMEN NISSIN 85G GALINHA CAIPIRA;MASSAS;719.0;10;A
90779;None;PAO DE COCO KG;PANIFICADORA BALCAO;716.0;10;A
2895;7896089012637;CAFE VACUO PILAO 250G TRAD;CAFE VACUO-MOIDO;716.0;10;A
6507;7894900700046;REFRIG COCA COLA ZERO LT 350ML;BEBIDAS NAO ALCOOLICAS;715.0;10;A
16708;None;CEBOLA ROXA KG;FRUTAS-VERDURAS;705.0;10;A
112810;7898937115309;UVA VITORIA LESSA 500G;FRUTAS-VERDURAS;700.0;10;A
2860;7896005800362;CAFE VACUO 3 CORACOES TRAD 250G;CAFE VACUO-MOIDO;696.0;10;A
15894;7894904009862;LING SEARA CALABRESA 400G;EMBUTIDOS-DEFUMADOS;693.0;10;A
16666;7898218050084;ALFACE CRESPA VERDES NATURAIS;FRUTAS-VERDURAS;693.0;10;A
3225;7898080640246;CR LEITE ITALAC TP 200G;MATINAIS;686.0;10;A
101474;None;MILHO VERDE FORTE DO MILHO KG;FRUTAS-VERDURAS;679.0;10;A
4739;78939318;CHOC LACTA OURO BRANCO 20G;BOMBONIERE;679.0;10;A
17362;None;MINI SALGADO KG;PANIFICADORA BALCAO;673.0;10;A
72063;70847022015;ENERGETICO MONSTER ENERGY 473ML;BEBIDAS NAO ALCOOLICAS;672.0;10;A
132177;7896306621239;CHOC TRENTO MASSIMO 30G DARK;BOMBONIERE;639.0;10;A
101454;7898916697024;CANJICA FORTE DO MILHO 240G;GOMA FRESCA - PAMONHA;639.0;10;A
99578;7896051165491;QJO RALADO ITAMBE PARM 50G;LATICINIOS;638.0;10;A
75749;7898249770319;OVOS CAIPIRA REGINA C/10;OVOS;623.0;10;A
49219;78912359;CHOC GAROTO BATON 16G CHOC AO LEITE;BOMBONIERE;619.0;10;A
133276;7891152802078;MAC FORTALEZA SEM ESPAG 400G;MASSAS;615.0;10;A
113736;7896224000154;ARROZ CELIA BCO TP1 1KG;CEREAIS-FARINHAS;615.0;10;A
16889;None;ABOBRINHA ITALIANA KG;FRUTAS-VERDURAS;614.0;10;A
6707;7894900593716;SUCO KAPO 200ML UVA;BEBIDAS NAO ALCOOLICAS;609.0;10;A
90791;78938816;PASTILHA ADAMS HALLS 28G EXT FORTE;BOMBONIERE;607.0;10;A
6394;7898222290032;AGUA MINERAL CRYSTAL PET 500ML;BEBIDAS NAO ALCOOLICAS;606.0;10;A
6486;7894900701753;REFRIG COCA COLA ZERO 1,5L;BEBIDAS NAO ALCOOLICAS;594.0;10;A
15436;7898249771187;FILE PEITO FGO REGINA RESF 700G;RESFRIADOS;593.0;10;A
15436;7898249771187;FILE PEITO FGO REGINA RESF 700G;CONGELADOS;593.0;10;A
2856;7896005801819;CAFE VACUO 3 CORACOES EX FORTE 250G;CAFE VACUO-MOIDO;585.0;10;A
16693;7898218050039;COUVE MANTEIGA COMUM;FRUTAS-VERDURAS;584.0;10;A
67680;7898403782394;LEITE UHT BETANIA C/TP DESN 1L;LEITES;583.0;10;A
2911;7896224802963;CAFE VACUO STA CLARA PREMIUM 250G;CAFE VACUO-MOIDO;578.0;10;A
133282;7891152802115;MAC FORTALEZA ESP FAIX DOU 400G ;MASSAS;568.0;10;A
6411;7894900531008;AGUA MINERAL CRYSTAL PET C/G 500ML;BEBIDAS NAO ALCOOLICAS;567.0;10;A
16665;7898218050107;ALFACE AMERICANA UND;FRUTAS-VERDURAS;566.0;10;A
114324;7891000325902;LEITE PO NINHO FORTI+ INT SH 750G;LEITES;566.0;10;A
123436;7891152801866;BISC AMORI RECH 71,2G CHOC;BISCOITO-BOLINHOS;557.0;10;A
6387;7894900027044;REFRIG COCA COLA ORIG 1L;BEBIDAS NAO ALCOOLICAS;556.0;10;A
108836;7896045506323;CERV AMSTEL PM LAG LT 350ML;BEBIDAS ALCOOLICAS;552.0;10;A
6929;7897240900114;REFRIG SAO GERALDO CAJU 1L;BEBIDAS NAO ALCOOLICAS;549.0;10;A
15242;7898403780154;LEITE BETANIA TIPO C 1L;LATICINIOS;545.0;10;A
16772;None;ABOBORA JACARE KG;FRUTAS-VERDURAS;544.0;10;A
15672;7894904271726;MARGARINA PRIMOR 500G;LATICINIOS;544.0;10;A
6513;7894900701609;REFRIG COCA COLA ZERO 600ML;BEBIDAS NAO ALCOOLICAS;539.0;10;A
11442;7897314911428;OVOS SAO JOSE BCO GDE C/20;OVOS;538.0;10;A
49105;None;COXINHA DE FRANGO UND;PANIFICADORA BALCAO;537.0;10;A
16864;None;MELAO ESPANHOL AMARELO KG;FRUTAS-VERDURAS;537.0;10;A
124756;7898923678030;AGUA MINERAL LIMPIDA S/G 1,5L;BEBIDAS NAO ALCOOLICAS;536.0;10;A
16758;None;PERA DANJUR KG;FRUTAS-VERDURAS;531.0;10;A
16678;None;BROCOLIS JAPONES COMUM KG;FRUTAS-VERDURAS;530.0;10;A
57532;7896089016291;CAFE VACUO PILAO 250G EXTRA FORTE;CAFE VACUO-MOIDO;530.0;10;A
22208;None;CAFE C/LEITE GDE;COMIDAS PRONTAS;527.0;10;A
22208;None;CAFE C/LEITE GDE;PANIFICADORA BALCAO;527.0;10;A
17000;None;COXAO MOLE BOV FRIBAL KG;CARNES BOVINAS;520.0;10;A
16711;None;MACAXEIRA KG;FRUTAS-VERDURAS;518.0;10;A
79405;None;BACON PAMPLONA TABLETE KG;EMBUTIDOS-DEFUMADOS;512.0;10;A
79405;None;BACON PAMPLONA TABLETE KG;CARNES SUINAS;512.0;10;A
61558;7898922012019;FEIJAO CARIOCA DONA DE 1KG;CEREAIS-FARINHAS;507.0;10;A
16792;None;REPOLHO VERDE LISO KG;FRUTAS-VERDURAS;503.0;10;A
120072;7891152801330;BISC AMORI WAFER 80G MORANG;BISCOITO-BOLINHOS;501.0;10;A
131551;7897469401058;REQ CREM SAB & VIDA TRAD 400G;LATICINIOS;497.0;10;A
17034;None;MUSCULO BOV FRIBAL LIGHT KG;CARNES BOVINAS;497.0;10;A
112374;7898959029837;OVOS CAIPIRA TIJUCA VERM MED C/10;OVOS;496.0;10;A
3627;7896510100094;LEITE UHT MARANGUAPE INT 1L;LEITES;484.0;10;A
16679;None;BANANA NANICA KG;FRUTAS-VERDURAS;483.0;10;A
94175;7891962056500;BISC BAUDUCCO CHOCO BISCUIT 80G LEITE;BISCOITO-BOLINHOS;481.0;10;A
130441;None;PRES AURORA COZIDO S/CAPA KG EMB;EMBUTIDOS-DEFUMADOS;480.0;10;A
113545;None;LEVISSIMO SEARA KG EMB;EMBUTIDOS-DEFUMADOS;478.0;10;A
68099;7896009863547;ARROZ SEPE BCO TP1 1KG;CEREAIS-FARINHAS;476.0;10;A
125637;None;QJO MUSSAR NUTRIVIDA KG EMB;LATICINIOS;475.0;10;A
15818;7896260700230;MANTEIGA ITACOLOMY PT 500G;LATICINIOS;474.0;10;A
95754;7896423420180;CHOC SNICKERS 45G;BOMBONIERE;469.0;10;A
80854;7898388110076;AGUA MINERAL SERRA GRANDE S/G 1,5L;BEBIDAS NAO ALCOOLICAS;466.0;10;A
98576;7891008116632;CHOC GAROTO GAROTICES 250G;BOMBONIERE;465.0;10;A
124753;7898923678023;AGUA MINERAL LIMPIDA S/G 500ML;BEBIDAS NAO ALCOOLICAS;464.0;10;A
2604;7898384200016;FEIJAO CORDA FIBRA 1KG;CEREAIS-FARINHAS;462.0;10;A
69398;7891152341751;BISC ANIMADOS ZOO COBERTO 40G;BISCOITO-BOLINHOS;462.0;10;A
123430;7891152801507;BISC FORTALEZA MAIZENA 350G TRAD;BISCOITO-BOLINHOS;456.0;10;A
100684;7891991294959;CERV BRAHMA DM SLK 350ML;BEBIDAS ALCOOLICAS;456.0;10;A
86245;7897395099336;CERV PETRA PURO MALTE LT 350ML;BEBIDAS ALCOOLICAS;456.0;10;A
344;7896098900208;DETERG LIQ YPE 500ML NEUTRO;LAVA ROUPAS-LOUCAS;455.0;10;A
15001;7894904500383;HAMB SEARA TEXAS BURGER 56G CARNE;CONGELADOS;454.0;10;A
15836;7896510100032;MANTEIGA MARANGUAPE 200G;LATICINIOS;448.0;10;A
124571;7898249772665;LING MERCI FININHA 215G;BEBIDAS ALCOOLICAS;444.0;10;A
124571;7898249772665;LING MERCI FININHA 215G;EMBUTIDOS-DEFUMADOS;444.0;10;A
133271;7891152802153;MAC FORTALEZA SEM 400G PARAFUSO;MASSAS;441.0;10;A
120075;7891152801378;BISC ESCURETO WAFER 80G BAUNILHA;BISCOITO-BOLINHOS;441.0;10;A
99372;7898926342426;MASSA PRONTA TAPIOCA KUME 1KG;MASSAS;441.0;10;A
99372;7898926342426;MASSA PRONTA TAPIOCA KUME 1KG;GOMA FRESCA - PAMONHA;441.0;10;A
133167;7896004006277;BATATA FRITA PRINGLES 104G ORIGINAL;PETISCOS SALGADINHOS;440.0;10;A
4474;7895800400142;GOMA MASCA TRIDENT 8G MENTA;BOMBONIERE;437.0;10;A
101272;7898403782929;LEITE PO BETANIA INT SH 750G;LEITES;437.0;10;A
68648;7622300988470;CHOC LACTA BIS XTRA 45G AO LEITE;BOMBONIERE;437.0;10;A
119975;7897395000585;CERV ITAIPAVA 100%PM SLK 350ML;BEBIDAS ALCOOLICAS;436.0;10;A
113828;7894900680508;REFRIG SPRITE LEMON FRESH 510ML;BEBIDAS NAO ALCOOLICAS;435.0;10;A
123248;7891152801798;BISC AMORI RECH 125G MOR;BISCOITO-BOLINHOS;435.0;10;A
16746;None;MACA ARGENTINA KG;FRUTAS-VERDURAS;434.0;10;A
6061;7897395020132;CERV ITAIPAVA PILSEN LT 350ML;BEBIDAS ALCOOLICAS;434.0;10;A
123247;7891152801842;BISC ESCURETO RECH 125G;BISCOITO-BOLINHOS;434.0;10;A
127403;7896264670942;MAC ESTRELA GOSTOSO SEM ESP 400G;MASSAS;430.0;10;A
17023;None;LOMBO BOV C/OSSO FRIBAL KG;CARNES BOVINAS;427.0;10;A
51589;7898215152811;LEITE UHT PIRACANJ S/LAC 1L;LEITES;427.0;10;A
126354;7892840820381;BATATA PALHA ELMA CHIPS TRAD 100G;PETISCOS SALGADINHOS;426.0;10;A
15635;7894904571956;MARGARINA DORIANA 500G C/SAL;LATICINIOS;425.0;10;A
6109;7891149200504;CERV SKOL PILSEN LT 350ML;BEBIDAS ALCOOLICAS;423.0;10;A
127076;7891000369371;CHOC NESTLE BARRA 80G CRUNCH;BOMBONIERE;423.0;10;A
1530;7891022101119;ESP ACO BOMBRIL C/8 60G;ACESSORIOS DE LIMPEZA;422.0;10;A
90792;78938830;PASTILHA ADAMS HALLS 28G MENTA;BOMBONIERE;420.0;10;A
17115;None;BIFE PATINHO FRIBAL KG;CARNES BOVINAS;420.0;10;A
16799;None;QJO COALHO VS KG;LATICINIOS;418.0;10;A
76145;7896013142065;AGUA SANITARIA CLORAL 1L;OVOS;418.0;10;A
76145;7896013142065;AGUA SANITARIA CLORAL 1L;MAT LIMPEZA-HIGIENE;418.0;10;A
88115;7891962054551;BISC BAUDUCCO WAFER 78G CHOC;BISCOITO-BOLINHOS;418.0;10;A
76145;7896013142065;AGUA SANITARIA CLORAL 1L;LIMPADORES;418.0;10;A
76145;7896013142065;AGUA SANITARIA CLORAL 1L;ARTIGOS DE PRAIA;418.0;10;A
76145;7896013142065;AGUA SANITARIA CLORAL 1L;ALVEJANTE - AGUA SANITAR;418.0;10;A
76145;7896013142065;AGUA SANITARIA CLORAL 1L;FARMACIA;418.0;10;A
76145;7896013142065;AGUA SANITARIA CLORAL 1L;AMACIANTES-PASSA ROUPAS;418.0;10;A
133275;7891152802146;MAC FORTALEZA SEM NINHO 400G;MASSAS;416.0;10;A
79181;7896725201012;ACUCAR OLHO DAGUA DEMERARA 1KG;CEREAIS-FARINHAS;409.0;10;A
2908;7896224814126;CAFE VACUO STA CLARA CLASSICO 250G;CAFE VACUO-MOIDO;405.0;10;A
120074;7891152801354;BISC AMORI WAFER 80G MOUSSE LIMAO;BISCOITO-BOLINHOS;403.0;10;A
6311;7891991001342;REFRIG GUAR ANTARCTICA 2L TRAD;BEBIDAS NAO ALCOOLICAS;403.0;10;A
6306;7891991002561;REFRIG GUAR ANTARCTICA 1L;BEBIDAS NAO ALCOOLICAS;401.0;10;A
55958;7898938380096;MORANGO RS MORANGOS 250G;FRUTAS-VERDURAS;398.0;10;A
68319;7622300988517;CHOC LACTA BIS XTRA 45G OREO;BOMBONIERE;397.0;10;A
17281;None;PAO STARPAES ESPECIAL KG;PANIFICADORA BALCAO;393.0;10;A
22873;None;CAFE PEQUENO;PANIFICADORA BALCAO;387.0;10;A
22873;None;CAFE PEQUENO;COMIDAS PRONTAS;387.0;10;A
117917;None;SUSHI ESPECIAIS UND;COMIDAS PRONTAS;385.0;10;A
117917;None;SUSHI ESPECIAIS UND;COMIDA JAPONESA;385.0;10;A
63158;7896051135425;MANTEIGA ITAMBE 500G;LATICINIOS;384.0;10;A
20685;793573265623;ARROZ COMETA BCO 1KG;CEREAIS-FARINHAS;382.0;10;A
16879;None;ACELGA KG;FRUTAS-VERDURAS;381.0;10;A
5173;7896041156010;MILHO VDE ODERICH LT 200G;CONSERVAS ENLATADOS-TEMPE;380.0;10;A
6490;7894900701715;REFRIG COCA COLA ZERO 1L;BEBIDAS NAO ALCOOLICAS;374.0;10;A
42073;7896013105657;AGUA SANITARIA BRILUX L1L P900ML;ALVEJANTE - AGUA SANITAR;372.0;10;A
100261;7892840815769;AVEIA QUAKER 165G FLOCOS FINOS;MATINAIS;371.0;10;A
119082;7891149840922;CERV BOHEMIA PM SLK LT 350ML;BEBIDAS ALCOOLICAS;368.0;10;A
90793;78938847;PASTILHA ADAMS HALLS 28G MORANG;BOMBONIERE;368.0;10;A
5628;7897517206178;MOLHO TOM FUGINI PENEIRADO SH 300G;CONSERVAS ENLATADOS-TEMPE;367.0;10;A
2842;7898403780918;LEITE PO BETANIA INT SH 200G;LEITES;365.0;10;A
99694;7891000305249;BISC BONO RECH 126G CHOC;BISCOITO-BOLINHOS;364.0;10;A
22874;None;CAFE GRANDE;PANIFICADORA BALCAO;362.0;10;A
2403;7896005202074;FARINHA DE TRIGO D BENTA S/F 1KG;CEREAIS-FARINHAS;362.0;10;A
22874;None;CAFE GRANDE;COMIDAS PRONTAS;362.0;10;A
14551;7891091010008;FLOCAO DE MILHO NOVOMILHO 500G;DERIVADOS DE MILHO;361.0;10;A
6308;7891991008655;REFRIG GUAR ANTARCTICA 2,5L;BEBIDAS NAO ALCOOLICAS;360.0;10;A
125581;None;GALETO REGINA C/BATATA GRILL KG;GALETERIA;360.0;10;A
125581;None;GALETO REGINA C/BATATA GRILL KG;COMIDAS PRONTAS;360.0;10;A
124355;7896253401465;ROSQUINHA RANCHEIRO 300G COCO;BISCOITO-BOLINHOS;360.0;10;A
125581;None;GALETO REGINA C/BATATA GRILL KG;CONGELADOS;360.0;10;A
5086;7894000030470;MAIONESE HELLMANNS SH 200G;CONSERVAS ENLATADOS-TEMPE;359.0;10;A
101440;7898994674719;ACUCAR PAYOL CRISTAL 1KG;CEREAIS-FARINHAS;356.0;10;A
6848;7892840800000;REFRIG PEPSI 2L;BEBIDAS NAO ALCOOLICAS;356.0;10;A
16334;7898249771279;FRANGO REGINA RESF INATURA KG;CONGELADOS;354.0;10;A
16334;7898249771279;FRANGO REGINA RESF INATURA KG;RESFRIADOS;354.0;10;A
51334;7898904771613;CERV DEVASSA LAG SLEK LT 350ML;BEBIDAS ALCOOLICAS;354.0;10;A
71050;7891152340211;BISC ANIMADOS ZOO WAFER 30G CHOC;BISCOITO-BOLINHOS;353.0;10;A
64932;7896500300244;GOMA FRESCA GOSTO MINEIRO 1K;GOMA FRESCA - PAMONHA;348.0;10;A
11507;7897314911404;OVOS SAO JOSE CAIPIRA SERTAN C/10;OVOS;348.0;10;A
111836;7898996114022;PAO AIPI INT 69% S/AD GRAOS 400G;HIGIENE BUCAL;346.0;10;A
111836;7898996114022;PAO AIPI INT 69% S/AD GRAOS 400G;PANIFICADORA OUTROS;346.0;10;A
17079;None;BIFE COXAO MOLE FRIBAL KG;CARNES BOVINAS;345.0;10;A
54651;7898249771293;LING GOSTOSINHA CALAB MINI 360G;EMBUTIDOS-DEFUMADOS;345.0;10;A
4755;78939301;CHOC LACTA SONHO VALSA 20G TRAD;BOMBONIERE;345.0;10;A
64549;7898917044964;BISC OSHO 90G SEQUILHO;PANIFICADORA OUTROS;343.0;10;A
92927;7891000258910;FARINHA LACTEA NESTLE SH L210 P180G;MATINAIS;343.0;10;A
2833;7898402890106;MILHO P/PIPOCA TIO MARCIO 500G;DERIVADOS DE MILHO;339.0;10;A
3441;7891000370100;ACHOC EM PO NESCAU 200G;MATINAIS;337.0;10;A
15240;7891000248546;IOG NESTLE NATURAL 170G TRAD;LATICINIOS;336.0;10;A
5943;7896490288898;COLORIFICO DONA CLARA 100G;CONSERVAS ENLATADOS-TEMPE;336.0;10;A
6053;7896045523412;CERV HEINEKEN LT 350ML;BEBIDAS ALCOOLICAS;336.0;10;A
80851;7898388110069;AGUA MINERAL SERRA GRANDE S/G 510ML;BEBIDAS NAO ALCOOLICAS;336.0;10;A
60217;None;OPCAO ADICIONAL UND;COMIDAS PRONTAS;333.0;10;A
1403;7896001004511;ESP BETTANIN BRILHUS 451;ACESSORIOS DE LIMPEZA;329.0;10;A
15498;7898249770333;SOBRECOXA FGO REGINA S/P RESF 700G;RESFRIADOS;328.0;10;A
15498;7898249770333;SOBRECOXA FGO REGINA S/P RESF 700G;CONGELADOS;328.0;10;A
